Width;Height;Roi.X1;Roy.Y1;Roi.X2;Roi.Y2;ClassId;Path
50;50;0;0;50;50;0;Train/0/00000_00000_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00000_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00000_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00000_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00000_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00000_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00000_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00001_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00001_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00001_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00001_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00001_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00001_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00001_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00002_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00002_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00002_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00002_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00002_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00002_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00002_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00003_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00003_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00003_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00003_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00003_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00003_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00003_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00004_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00004_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00004_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00004_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00004_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00004_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00004_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00005_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00005_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00005_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00005_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00005_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00005_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00005_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00006_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00006_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00006_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00006_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00006_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00006_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00006_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00007_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00007_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00007_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00007_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00007_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00007_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00007_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00008_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00008_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00008_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00008_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00008_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00008_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00008_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00009_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00009_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00009_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00009_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00009_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00009_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00009_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00010_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00010_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00010_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00010_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00010_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00010_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00010_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00011_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00011_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00011_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00011_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00011_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00011_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00011_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00012_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00012_00001.jpg
100;100;0;0;100;100;0;Train/0/00000_00012_00002.jpg
125;125;0;0;125;125;0;Train/0/00000_00012_00003.jpg
150;150;0;0;150;150;0;Train/0/00000_00012_00004.jpg
175;175;0;0;175;175;0;Train/0/00000_00012_00005.jpg
200;200;0;0;200;200;0;Train/0/00000_00012_00006.jpg
50;50;0;0;50;50;0;Train/0/00000_00013_00000.jpg
75;75;0;0;75;75;0;Train/0/00000_00013_00001.jpg
